player,prev_team,team,prev_season,season,season_int,prev_season_int,age,market_value,prev_team_points,prev_team_total_goals_for,prev_team_total_goals_against,prev_team_attack_defense_ratio,prev_team_home_strength,prev_team_away_strength,prev_team_avg_squad_age,prev_team_total_squad_market_value,new_team_points,new_team_total_goals_for,new_team_total_goals_against,new_team_attack_defense_ratio,new_team_home_strength,new_team_away_strength,new_team_avg_squad_age,new_team_total_squad_market_value,prev_war_rating,prev_gls_p90,prev_ast_p90,prev_minutes_share,new_war_rating,new_gls_p90,new_ast_p90,new_minutes_share,adaptation_war_delta,adaptation_minutes_share_delta,adaptation_outcome,style_match_score,team_level_upgrade,is_step_up,is_step_down,transfer_flag
Alan Stubbs,Sunderland,Everton,2005/06,2006/07,2006,2005.0,34.0,1000000.0,15,26,69,0.377,0.123,0.14,23.833333333333332,23050000.0,58,52,36,1.444,0.649,0.368,26.857142857142858,66700000.0,0.061,0.12195121951219513,0.0,1.97,0.0225,0.0900900900900901,0.0,5.32,-0.0385,3.35,neutral,0.6503,43,True,False,False
Alan Stubbs,Sunderland,Everton,2005/06,2006/07,2006,2005.0,34.0,1000000.0,15,26,69,0.377,0.123,0.14,23.833333333333332,23050000.0,58,52,36,1.444,0.649,0.368,26.857142857142858,66700000.0,0.061,0.12195121951219513,0.0,1.97,0.0225,0.0900900900900901,0.0,5.32,-0.0385,3.35,neutral,0.6503,43,True,False,False
Alan Stubbs,Everton,Derby,2006/07,2007/08,2007,2006.0,35.0,1000000.0,58,52,36,1.444,0.649,0.368,26.857142857142858,66700000.0,11,20,89,0.225,0.14,0.053,27.047619047619047,39750000.0,0.0225,0.0900900900900901,0.0,5.32,-0.0694,0.0,0.0,1.72,-0.0919,-3.6,neutral,0.608,-47,False,True,True
Alan Stubbs,Everton,Derby,2006/07,2007/08,2007,2006.0,35.0,1000000.0,58,52,36,1.444,0.649,0.368,26.857142857142858,66700000.0,11,20,89,0.225,0.14,0.053,27.047619047619047,39750000.0,0.0225,0.0900900900900901,0.0,5.32,-0.0694,0.0,0.0,1.72,-0.0919,-3.6,neutral,0.608,-47,False,True,True
Alan Wright,Aston Villa,Middlesbrough,2002/03,2003/04,2003,2002.0,31.0,0.0,45,42,47,0.894,0.614,0.175,27.125,0.0,44,40,46,0.87,0.463,0.373,27.5,0.0,0.0,0.0,0.11904761904761904,2.01,0.0,0.0,0.0,0.48,0.0,-1.53,neutral,0.9278,-1,False,True,False
Albert Sambi Lokonga,Crystal Palace,Luton,2022/23,2023/24,2023,2022.0,23.0,15000000.0,45,40,49,0.816,0.491,0.298,26.615384615384617,253200000.0,26,52,85,0.612,0.281,0.175,26.36842105263158,120100000.0,-0.1333,0.0,0.0,1.43,0.5448,0.06896551724137931,0.20689655172413793,3.46,0.6781,2.03,successful,0.9083,-19,False,True,False
Albert Sambi Lokonga,Crystal Palace,Luton,2022/23,2023/24,2023,2022.0,23.0,15000000.0,45,40,49,0.816,0.491,0.298,26.615384615384617,253200000.0,26,52,85,0.612,0.281,0.175,26.36842105263158,120100000.0,-0.1333,0.0,0.0,1.43,0.5448,0.06896551724137931,0.20689655172413793,3.46,0.6781,2.03,successful,0.9083,-19,False,True,False
Aleksandar Mitrović,Newcastle,Fulham,2017/18,2018/19,2018,2017.0,23.0,25000000.0,44,39,47,0.83,0.491,0.281,25.15,151500000.0,26,34,81,0.42,0.368,0.088,25.4375,161000000.0,3.1818,0.9090909090909091,0.0,0.25,1.1648,0.30219780219780223,0.08241758241758242,8.73,-2.017,8.48,struggling,0.8645,-18,False,True,False
Alex Iwobi,Arsenal,Everton,2018/19,2019/20,2019,2018.0,23.0,25500000.0,70,73,51,1.431,0.789,0.439,26.5,514500000.0,49,44,56,0.786,0.544,0.316,25.705882352941178,318000000.0,0.9589,0.13698630136986303,0.27397260273972607,5.24,0.113,0.05649717514124294,0.0,4.25,-0.8459,-0.99,struggling,0.7977,-21,False,True,False
Alex McCarthy,QPR,Crystal Palace,2014/15,2015/16,2015,2014.0,25.0,3000000.0,30,42,73,0.575,0.404,0.123,28.352941176470587,61000000.0,42,39,51,0.765,0.368,0.368,27.0,99000000.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,1.68,0.0,1.05,neutral,0.9099,12,True,False,False
Alex McCarthy,Crystal Palace,Southampton,2015/16,2016/17,2016,2015.0,26.0,3000000.0,42,39,51,0.765,0.368,0.368,27.0,99000000.0,46,41,48,0.854,0.421,0.386,25.41176470588235,205500000.0,0.0,0.0,0.0,1.68,0.0,,,0.0,0.0,-1.68,neutral,0.9696,4,True,False,False
Alexandre Song,Charlton,Arsenal,2006/07,2007/08,2007,2006.0,19.0,,34,34,60,0.567,0.456,0.14,26.823529411764707,47350000.0,83,74,31,2.387,0.825,0.632,24.058823529411764,179000000.0,-0.0459,0.0,0.09174311926605504,2.62,0.0,0.0,0.0,1.25,0.0459,-1.37,neutral,0.4454,49,True,False,False
Alexey Smertin,Portsmouth,Chelsea,2003/04,2004/05,2004,2003.0,29.0,,35,37,51,0.725,0.521,0.185,27.5,0.0,82,62,12,5.167,0.804,0.854,24.133333333333333,225500000.0,-0.0348,0.0,0.0,5.49,-0.092,0.0,0.0,2.08,-0.0572,-3.41,neutral,0.0,47,True,False,False
Alexey Smertin,Chelsea,Charlton,2004/05,2005/06,2005,2004.0,30.0,,82,62,12,5.167,0.804,0.854,24.133333333333333,225500000.0,47,41,55,0.745,0.491,0.333,27.294117647058822,45400000.0,-0.092,0.0,0.0,2.08,0.0,0.0,0.0,4.07,0.092,1.99,neutral,0.0,-35,False,True,False
Alexey Smertin,Charlton,Fulham,2005/06,2006/07,2006,2005.0,31.0,,47,41,55,0.745,0.491,0.333,27.294117647058822,45400000.0,39,38,60,0.633,0.491,0.193,27.38888888888889,53150000.0,0.0,0.0,0.0,4.07,0.4237,0.0,0.1694915254237288,1.42,0.4237,-2.65,successful,0.9482,-8,False,True,False
Alexis Mac Allister,Brighton,Liverpool,2022/23,2023/24,2023,2022.0,24.0,75000000.0,62,72,53,1.358,0.596,0.491,25.8,413000000.0,82,86,41,2.098,0.842,0.596,25.210526315789473,841000000.0,0.6791,0.3115264797507788,0.06230529595015576,7.67,0.6298,0.17301038062283738,0.17301038062283738,6.94,-0.0493,-0.73,neutral,0.7729,20,True,False,False
Alfie Mawson,Swansea,Fulham,2017/18,2018/19,2018,2017.0,24.0,15000000.0,33,28,56,0.5,0.368,0.211,26.428571428571427,94000000.0,26,34,81,0.42,0.368,0.088,25.4375,161000000.0,0.0395,0.05263157894736842,0.02631578947368421,9.11,-0.0794,0.0,0.0,3.01,-0.1189,-6.1,neutral,0.9576,-7,False,True,False
Aliou Cissé,Birmingham,Portsmouth,2003/04,2004/05,2004,2003.0,28.0,3000000.0,48,39,41,0.951,0.537,0.396,26.875,0.0,35,38,53,0.717,0.471,0.216,26.736842105263158,46600000.0,-0.4237,0.0,0.0,1.43,0.0781,0.0,0.078125,3.08,0.5018,1.65,successful,0.9127,-13,False,True,False
Alphonse Areola,Fulham,West Ham,2020/21,2021/22,2021,2020.0,28.0,8000000.0,28,27,53,0.509,0.175,0.316,24.357142857142858,151000000.0,56,60,51,1.176,0.561,0.421,27.4,302200000.0,-0.0167,0.0,0.0,8.63,0.0,0.0,0.0,0.24,0.0167,-8.39,neutral,0.7755,28,True,False,False
Aly Cissokho,Liverpool,Aston Villa,2013/14,2014/15,2014,2013.0,26.0,4500000.0,84,101,50,2.02,0.86,0.614,25.125,225500000.0,38,31,57,0.544,0.368,0.298,25.5625,82500000.0,0.0,0.0,0.08264462809917356,2.9,-0.0212,0.0,0.0,5.68,-0.0212,2.78,neutral,0.5417,-46,False,True,False
Amadou Onana,Everton,Aston Villa,2023/24,2024/25,2024,2023.0,22.0,50000000.0,48,40,51,0.784,0.491,0.351,26.266666666666666,294500000.0,60,55,49,1.122,0.685,0.451,26.333333333333332,454000000.0,0.0862,0.08620689655172414,0.0,5.57,0.2444,0.16666666666666666,0.0,4.31,0.1582,-1.26,successful,0.8839,12,True,False,False
